session	fixture	phase	sample	app_pid	webkit_pids	pid_count	phys_footprint_bytes	rss_bytes	status	note
1	frontier	back_library_keepalive	7	84700	84729,84731,84735	4	290983936	259649536	ok	app + WebKit mới sinh
1	frontier	back_library_keepalive	8	84700	84729,84731,84735	4	290983936	259649536	ok	app + WebKit mới sinh
1	frontier	back_library_keepalive	9	84700	84729,84731,84735	4	288165888	259649536	ok	app + WebKit mới sinh
1	frontier	back_library_keepalive	10	84700	84729,84731,84735	4	288165888	259649536	ok	app + WebKit mới sinh
2	full	library	1	86710	86728,86734,86735	4	297144320	246145024	ok	app + WebKit mới sinh
2	full	library	2	86710	86728,86734,86735	4	297066496	247144448	ok	app + WebKit mới sinh
2	full	library	3	86710	86728,86734,86735	4	288956416	249954304	ok	app + WebKit mới sinh
2	full	library	4	86710	86728,86734,86735	4	288878592	249937920	ok	app + WebKit mới sinh
2	full	library	5	86710	86728,86734,86735	4	288256000	249528320	ok	app + WebKit mới sinh
2	full	library	6	86710	86728,86734,86735	4	288256000	249528320	ok	app + WebKit mới sinh
2	full	library	7	86710	86728,86734,86735	4	288206848	249479168	ok	app + WebKit mới sinh
2	full	library	8	86710	86728,86734,86735	4	288100352	249389056	ok	app + WebKit mới sinh
2	full	library	9	86710	86728,86734,86735	4	288047104	249335808	ok	app + WebKit mới sinh
2	full	library	10	86710	86728,86734,86735	4	288051200	249339904	ok	app + WebKit mới sinh
2	full	reading	1	86710	86728,86734,86735	4	851656704	1036324864	ok	app + WebKit mới sinh
2	full	reading	2	86710	86728,86734,86735	4	848338944	1036324864	ok	app + WebKit mới sinh
2	full	reading	3	86710	86728,86734,86735	4	844857344	1036292096	ok	app + WebKit mới sinh
2	full	reading	4	86710	86728,86734,86735	4	844857344	1036292096	ok	app + WebKit mới sinh
2	full	reading	5	86710	86728,86734,86735	4	844857344	1036292096	ok	app + WebKit mới sinh
2	full	reading	6	86710	86728,86734,86735	4	844857344	1036292096	ok	app + WebKit mới sinh
2	full	reading	7	86710	86728,86734,86735	4	844857344	1036292096	ok	app + WebKit mới sinh
2	full	reading	8	86710	86728,86734,86735	4	844857344	1036292096	ok	app + WebKit mới sinh
2	full	reading	9	86710	86728,86734,86735	4	844857344	1036292096	ok	app + WebKit mới sinh
2	full	reading	10	86710	86728,86734,86735	4	844857344	1036292096	ok	app + WebKit mới sinh
2	full	back_library_keepalive	1	86710	86728,86734,86735	4	791842816	1112887296	ok	app + WebKit mới sinh
2	full	back_library_keepalive	2	86710	86728,86734,86735	4	762884096	1112879104	ok	app + WebKit mới sinh
2	full	back_library_keepalive	3	86710	86728,86734,86735	4	762228736	1112879104	ok	app + WebKit mới sinh
2	full	back_library_keepalive	4	86710	86728,86734,86735	4	762249216	1112899584	ok	app + WebKit mới sinh
2	full	back_library_keepalive	5	86710	86728,86734,86735	4	762216448	1112829952	ok	app + WebKit mới sinh
2	full	back_library_keepalive	6	86710	86728,86734,86735	4	761917440	1112731648	ok	app + WebKit mới sinh
2	full	back_library_keepalive	7	86710	86728,86734,86735	4	763129856	1103720448	ok	app + WebKit mới sinh
2	full	back_library_keepalive	8	86710	86728,86734,86735	4	763129856	1103699968	ok	app + WebKit mới sinh
2	full	back_library_keepalive	9	86710	86728,86734,86735	4	763109376	1083604992	ok	app + WebKit mới sinh
2	full	back_library_keepalive	10	86710	86728,86734,86735	4	763109376	1083604992	ok	app + WebKit mới sinh
2	frontier	library	1	90043	90069,90073,90074	4	305475584	246636544	ok	app + WebKit mới sinh
2	frontier	library	2	90043	90069,90073,90074	4	296136704	247791616	ok	app + WebKit mới sinh
2	frontier	library	3	90043	90069,90073,90074	4	296579072	250597376	ok	app + WebKit mới sinh
2	frontier	library	4	90043	90069,90073,90074	4	296411136	250404864	ok	app + WebKit mới sinh
2	frontier	library	5	90043	90069,90073,90074	4	295927808	250216448	ok	app + WebKit mới sinh
2	frontier	library	6	90043	90069,90073,90074	4	295907328	250216448	ok	app + WebKit mới sinh
2	frontier	library	7	90043	90069,90073,90074	4	295907328	250216448	ok	app + WebKit mới sinh
2	frontier	library	8	90043	90069,90073,90074	4	295854080	250179584	ok	app + WebKit mới sinh
