case	warmups	samples	p50_ms	p95_ms	p99_ms	worst_ms
frontier_5000_chapters_0_segments	10	30	2.921686	3.272411	3.302879	3.302879
full_run_5000_chapters_50000_segments	10	30	179.743797	198.361543	220.649593	220.649593
