round	t	wal_project	wal_global
8	1786619224.235	140112	53592
8	1786619225.490	140112	53592
8	1786619226.869	140112	53592
8	1786619228.271	140112	53592
8	1786619229.615	140112	53592
8	1786619230.964	140112	53592
8	1786619232.257	140112	53592
8	1786619233.568	140112	53592
8	1786619234.844	140112	53592
8	1786619236.180	140112	53592
8	1786619237.546	140112	53592
8	1786619238.941	140112	53592
8	1786619240.257	140112	53592
8	1786619241.612	140112	53592
8	1786619242.974	140112	53592
8	1786619244.321	140112	53592
8	1786619245.751	140112	53592
8	1786619247.151	140112	53592
8	1786619248.467	140112	53592
8	1786619249.852	140112	53592
8	1786619251.218	140112	53592
8	1786619252.531	140112	53592
8	1786619254.012	140112	53592
8	1786619255.543	140112	53592
8	1786619256.957	140112	53592
8	1786619258.332	140112	53592
8	1786619259.706	140112	53592
8	1786619261.026	140112	53592
8	1786619262.329	140112	53592
8	1786619263.654	140112	53592
8	1786619264.952	140112	53592
8	1786619266.395	140112	53592
8	1786619267.759	140112	53592
8	1786619269.066	140112	53592
9	1786619303.439	140112	61832
9	1786619304.732	140112	61832
9	1786619306.003	140112	61832
9	1786619307.310	140112	61832
9	1786619308.679	140112	61832
9	1786619309.971	140112	61832
9	1786619311.320	140112	61832
9	1786619312.760	140112	61832
9	1786619314.170	140112	61832
9	1786619315.538	140112	61832
9	1786619316.896	140112	61832
9	1786619318.255	140112	61832
9	1786619319.612	140112	61832
9	1786619321.053	140112	61832
9	1786619322.502	140112	61832
9	1786619323.774	140112	61832
9	1786619325.146	140112	61832
9	1786619326.421	140112	61832
9	1786619327.792	140112	61832
9	1786619329.148	140112	61832
9	1786619330.523	210152	61832
9	1786619331.820	210152	61832
9	1786619333.262	210152	61832
9	1786619334.634	210152	61832
9	1786619336.063	210152	61832
9	1786619337.480	210152	61832
9	1786619338.883	210152	61832
9	1786619340.209	210152	61832
9	1786619341.612	210152	61832
9	1786619342.944	210152	61832
9	1786619344.329	210152	61832
9	1786619345.738	210152	61832
9	1786619347.266	210152	61832
9	1786619348.973	210152	61832
9	1786619350.414	210152	61832
9	1786619351.745	210152	61832
9	1786619353.198	210152	61832
9	1786619354.527	210152	61832
10	1786619389.521	140112	53592
10	1786619390.768	140112	53592
10	1786619392.222	140112	53592
10	1786619393.784	140112	53592
10	1786619395.175	140112	53592
10	1786619396.553	140112	53592
10	1786619397.927	140112	53592
10	1786619399.391	140112	53592
10	1786619400.660	140112	53592
10	1786619401.994	140112	53592
10	1786619403.277	140112	53592
10	1786619404.672	140112	53592
10	1786619406.000	140112	53592
10	1786619407.423	140112	53592
10	1786619408.734	140112	53592
10	1786619410.086	140112	53592
10	1786619411.418	140112	53592
10	1786619412.764	140112	53592
10	1786619414.149	140112	53592
10	1786619415.557	152472	53592
10	1786619416.911	152472	53592
10	1786619418.212	152472	53592
10	1786619419.551	152472	53592
10	1786619420.932	156592	53592
10	1786619422.475	156592	53592
10	1786619423.848	156592	53592
10	1786619425.436	156592	53592
10	1786619426.919	173072	53592
11	1786619461.522	140112	53592
11	1786619462.771	140112	53592
11	1786619464.085	140112	53592
11	1786619465.364	140112	53592
11	1786619466.779	140112	53592
11	1786619468.138	140112	53592
11	1786619469.491	140112	53592
11	1786619470.760	140112	53592
11	1786619472.128	140112	53592
11	1786619473.475	140112	53592
11	1786619474.790	140112	53592
11	1786619476.113	140112	53592
11	1786619477.526	140112	53592
11	1786619478.819	140112	53592
11	1786619480.135	140112	53592
11	1786619481.474	140112	53592
11	1786619482.814	140112	53592
11	1786619484.157	140112	53592
11	1786619485.741	140112	53592
11	1786619487.072	140112	53592
11	1786619488.413	140112	53592
11	1786619489.714	140112	53592
11	1786619491.045	140112	53592
11	1786619492.341	140112	53592
11	1786619493.701	140112	53592
11	1786619495.091	140112	53592
11	1786619496.462	140112	53592
11	1786619497.797	140112	53592
11	1786619499.120	140112	53592
11	1786619500.408	140112	53592
11	1786619501.881	140112	53592
11	1786619503.209	140112	53592
11	1786619504.668	164832	53592
11	1786619505.986	164832	53592
12	1786619539.584	140112	53592
12	1786619540.845	140112	53592
12	1786619542.114	140112	53592
12	1786619543.363	140112	53592
12	1786619544.706	140112	53592
12	1786619546.197	140112	53592
12	1786619547.528	140112	53592
12	1786619548.814	140112	53592
12	1786619550.143	140112	53592
12	1786619551.427	140112	53592
12	1786619552.748	140112	53592
12	1786619554.041	140112	53592
12	1786619555.407	140112	53592
12	1786619556.749	140112	53592
12	1786619558.058	140112	53592
12	1786619559.458	140112	53592
12	1786619560.814	140112	53592
12	1786619562.182	140112	53592
12	1786619563.507	140112	53592
12	1786619564.808	140112	53592
12	1786619566.123	140112	53592
12	1786619567.405	140112	53592
12	1786619568.716	140112	53592
12	1786619570.024	140112	53592
12	1786619571.383	140112	53592
12	1786619572.746	140112	53592
12	1786619574.143	140112	53592
12	1786619575.527	140112	53592
13	1786619610.125	140112	53592
13	1786619611.405	140112	53592
13	1786619612.768	140112	53592
13	1786619614.194	140112	53592
13	1786619615.529	140112	53592
13	1786619616.878	140112	53592
13	1786619618.220	140112	53592
13	1786619619.576	140112	53592
13	1786619620.901	140112	53592
13	1786619622.398	168952	53592
13	1786619623.673	168952	53592
13	1786619625.051	168952	53592
13	1786619626.369	173072	53592
13	1786619627.689	173072	53592
13	1786619629.041	173072	53592
13	1786619630.390	173072	53592
13	1786619631.750	247232	53592
13	1786619633.017	247232	53592
13	1786619634.360	247232	53592
14	1786619667.579	140112	53592
14	1786619668.867	140112	53592
14	1786619670.190	140112	53592
14	1786619671.570	140112	53592
14	1786619672.920	140112	53592
14	1786619674.224	140112	53592
14	1786619675.519	140112	53592
14	1786619676.858	140112	53592
14	1786619678.159	140112	53592
14	1786619679.508	140112	53592
14	1786619680.819	140112	53592
14	1786619682.186	140112	53592
14	1786619683.466	140112	53592
14	1786619684.782	140112	53592
14	1786619686.098	140112	53592
14	1786619687.459	140112	53592
14	1786619688.814	140112	53592
14	1786619690.193	140112	53592
14	1786619691.466	140112	53592
14	1786619692.857	140112	53592
14	1786619694.204	140112	53592
14	1786619695.559	140112	53592
14	1786619696.969	140112	53592
14	1786619698.662	140112	53592
14	1786619700.042	140112	53592
14	1786619701.453	140112	53592
14	1786619702.770	140112	53592
14	1786619704.107	140112	53592
14	1786619705.457	140112	53592
14	1786619706.878	140112	53592
14	1786619708.311	140112	53592
15	1786619742.671	140112	53592
15	1786619743.926	140112	53592
15	1786619745.196	140112	53592
15	1786619746.479	140112	53592
15	1786619747.878	140112	53592
15	1786619749.214	140112	53592
15	1786619750.528	140112	53592
15	1786619751.831	140112	53592
15	1786619753.148	140112	53592
15	1786619754.479	140112	53592
15	1786619755.809	140112	53592
15	1786619757.115	140112	53592
15	1786619758.536	140112	53592
15	1786619759.843	140112	53592
15	1786619761.118	140112	53592
15	1786619762.451	140112	53592
15	1786619763.779	140112	53592
15	1786619765.143	140112	53592
15	1786619766.514	140112	53592
15	1786619767.880	140112	53592
15	1786619769.141	140112	53592
15	1786619770.477	140112	53592
15	1786619771.786	140112	53592
15	1786619773.279	140112	53592
15	1786619774.796	140112	53592
15	1786619776.155	140112	53592
15	1786619777.599	140112	53592
15	1786619778.961	140112	53592
15	1786619780.254	140112	53592
15	1786619781.573	140112	53592
16	1786619815.492	140112	53592
16	1786619816.755	140112	53592
16	1786619818.058	140112	53592
16	1786619819.371	140112	53592
16	1786619820.725	140112	53592
16	1786619822.101	140112	53592
16	1786619823.421	140112	53592
16	1786619824.730	140112	53592
16	1786619826.059	140112	53592
16	1786619827.369	140112	53592
16	1786619828.633	140112	53592
16	1786619829.973	140112	53592
16	1786619831.330	140112	53592
16	1786619832.689	140112	53592
16	1786619834.066	140112	53592
16	1786619835.379	140112	53592
16	1786619836.671	140112	53592
16	1786619837.974	140112	53592
16	1786619839.331	140112	53592
16	1786619840.622	140112	53592
17	1786619874.879	140112	53592
17	1786619876.123	140112	53592
17	1786619877.420	140112	53592
17	1786619879.060	140112	53592
17	1786619880.431	140112	53592
17	1786619881.792	140112	53592
17	1786619883.122	140112	53592
17	1786619884.479	140112	53592
17	1786619885.733	140112	53592
17	1786619887.148	140112	53592
17	1786619888.551	140112	53592
17	1786619890.043	140112	53592
17	1786619891.388	140112	53592
17	1786619892.722	140112	53592
17	1786619894.044	140112	53592
17	1786619895.617	140112	53592
17	1786619896.936	140112	53592
17	1786619898.329	140112	53592
17	1786619899.622	140112	53592
17	1786619901.075	140112	53592
17	1786619902.361	140112	53592
17	1786619903.680	140112	53592
17	1786619904.974	140112	53592
17	1786619906.333	140112	53592
17	1786619907.727	140112	53592
17	1786619909.107	140112	53592
17	1786619910.489	140112	53592
17	1786619911.843	140112	53592
17	1786619913.180	140112	53592
17	1786619914.562	140112	53592
17	1786619915.948	140112	53592
17	1786619917.297	140112	53592
17	1786619918.626	140112	53592
17	1786619919.881	140112	53592
17	1786619921.201	140112	53592
18	1786619955.430	140112	53592
18	1786619956.676	140112	53592
18	1786619957.949	140112	53592
18	1786619959.217	140112	53592
18	1786619960.764	140112	53592
18	1786619962.132	140112	53592
18	1786619963.436	140112	53592
18	1786619964.788	140112	53592
18	1786619966.134	140112	53592
18	1786619967.478	140112	53592
18	1786619968.756	140112	53592
18	1786619970.130	140112	53592
18	1786619971.539	140112	53592
18	1786619972.877	140112	53592
18	1786619974.272	140112	53592
18	1786619975.655	140112	53592
18	1786619977.032	140112	53592
18	1786619978.315	140112	53592
18	1786619979.710	140112	53592
18	1786619981.088	140112	53592
18	1786619982.448	140112	53592
18	1786619983.783	140112	53592
18	1786619985.106	140112	53592
18	1786619986.423	140112	53592
18	1786619987.901	140112	53592
18	1786619989.311	140112	53592
18	1786619990.654	140112	53592
18	1786619991.985	140112	53592
18	1786619993.281	140112	53592
18	1786619994.627	140112	53592
18	1786619995.936	140112	53592
18	1786619997.330	140112	53592
19	1786620030.690	140112	53592
19	1786620032.209	140112	53592
19	1786620033.486	140112	53592
19	1786620034.732	140112	53592
19	1786620036.084	140112	53592
19	1786620037.356	140112	53592
19	1786620038.733	140112	53592
19	1786620040.083	140112	53592
19	1786620041.442	140112	53592
19	1786620042.724	140112	53592
19	1786620044.167	140112	53592
19	1786620045.426	140112	53592
19	1786620046.822	140112	53592
19	1786620048.219	140112	53592
19	1786620049.592	140112	53592
19	1786620050.941	140112	53592
19	1786620052.287	140112	53592
19	1786620053.619	148352	53592
20	1786620088.259	140112	53592
20	1786620089.589	140112	53592
20	1786620090.970	140112	53592
20	1786620092.363	140112	53592
20	1786620093.631	140112	53592
20	1786620094.955	140112	53592
20	1786620096.286	140112	53592
20	1786620097.657	140112	53592
20	1786620099.021	140112	53592
20	1786620100.353	140112	53592
20	1786620101.600	140112	53592
20	1786620102.905	140112	53592
20	1786620104.223	185432	53592
20	1786620105.546	267832	53592
20	1786620106.892	267832	53592
20	1786620108.449	267832	53592
20	1786620109.734	284312	53592
20	1786620111.086	284312	53592
20	1786620112.422	284312	53592
20	1786620113.719	284312	53592
20	1786620115.000	300792	53592
20	1786620116.366	300792	53592
20	1786620117.782	300792	53592
20	1786620119.187	300792	53592
20	1786620120.458	304912	53592
20	1786620121.756	304912	53592
20	1786620123.233	304912	53592
20	1786620124.872	321392	53592
20	1786620126.230	321392	53592
20	1786620127.617	321392	53592
20	1786620128.898	321392	53592
20	1786620130.346	321392	53592
20	1786620131.653	321392	53592
20	1786620132.978	321392	53592
20	1786620134.287	321392	53592
20	1786620135.647	321392	53592
20	1786620136.972	354352	53592
20	1786620138.367	354352	53592
20	1786620139.828	354352	53592
